(244, 33243)
(571, 30050)
(341, 29873)
(486, 29809)
(488, 29532)
(527, 29179)
(528, 29134)
(500, 29093)
(587, 29077)
(456, 29064)
(514, 29055)
(484, 29048)
(629, 29030)
(470, 28949)
(355, 28930)
(573, 28871)
(258, 28846)
(529, 28783)
(516, 28727)
(498, 28717)
(615, 28717)
(472, 28692)
(585, 28660)
(357, 28621)
(226, 28602)
(617, 28602)
(599, 28563)
(530, 28546)
(458, 28484)
(601, 28479)
(227, 28444)
(442, 28392)
(616, 28382)
(502, 28368)
(572, 28339)
(541, 28273)
(628, 28247)
(630, 28242)
(586, 28218)
(371, 28212)
(513, 28056)
(569, 28040)
(631, 28018)
(526, 28013)
(570, 28008)
(485, 28000)
(613, 27999)
(614, 27953)
(542, 27946)
(539, 27940)
(531, 27936)
(588, 27869)
(600, 27868)
(557, 27852)
(583, 27817)
(555, 27767)
(543, 27765)
(487, 27764)
(589, 27710)
(540, 27605)
(499, 27557)
(524, 27550)
(602, 27535)
(515, 27495)
(627, 27400)
(643, 27353)
(642, 27350)
(556, 27331)
(512, 27326)
(525, 27291)
(501, 27261)
(584, 27253)
(545, 27247)
(482, 27227)
(454, 27188)
(559, 27165)
(598, 27162)
(632, 27150)
(597, 27096)
(517, 27086)
(503, 27084)
(558, 27083)
(440, 27078)
(603, 27063)
(518, 27059)
(612, 26976)
(687, 26968)
(574, 26925)
(644, 26838)
(686, 26812)
(611, 26803)
(538, 26793)
(457, 26792)
(626, 26783)
(504, 26751)
(641, 26740)
(618, 26723)
(645, 26696)
(581, 26693)
(544, 26692)
(575, 26544)
(532, 26473)
(640, 26450)
(658, 26437)
(554, 26412)
(496, 26399)
(553, 26396)
(633, 26381)
(700, 26366)
(369, 26345)
(523, 26342)
(546, 26327)
(701, 26292)
(441, 26229)
(522, 26178)
(510, 26175)
(497, 26157)
(619, 26153)
(568, 26125)
(689, 26102)
(443, 26100)
(567, 26083)
(474, 26032)
(688, 26029)
(625, 26028)
(702, 26021)
(646, 25981)
(537, 25974)
(471, 25956)
(699, 25912)
(455, 25907)
(489, 25861)
(609, 25848)
(684, 25839)
(659, 25832)
(582, 25819)
(685, 25811)
(657, 25795)
(511, 25793)
(385, 25782)
(595, 25782)
(399, 25743)
(674, 25728)
(444, 25715)
(560, 25709)
(561, 25699)
